Country.of.Origin,Variety,Processing.Method,Moisture,Harvest.Year,Color,altitude_mean_meters,Category.One.Defects,Category.Two.Defects,Calidad
1,1,0,0.1,2015,1,1700.0,0,0,2
2,3,4,0.0,2012,1,1750.0,0,1,1
5,7,4,0.12,2014,1,2075.0,0,1,2
5,7,4,0.12,2014,1,2075.0,0,1,2
6,7,4,0.1,2014,1,371.5940262115209,1,2,0
10,4,4,0.12,2014,1,1450.0,0,0,1
0,0,3,0.11,2011,0,1250.0,0,1,2
9,13,4,0.0,2012,1,1600.0,0,2,2
0,6,0,0.11,2016,1,973.0,0,3,1
2,3,4,0.0,2018,1,442.0,1,3,1
11,3,4,0.12,2014,1,1200.0,0,2,1
2,3,4,0.12,2014,1,1550.0,0,1,1
11,15,0,0.12,2012,1,1250.0,0,6,0
6,2,4,0.1,2012,0,431.97805547089297,0,1,2
18,11,4,0.12,2013,1,1950.0,0,1,2
1,15,4,0.1,2013,1,1200.0,0,28,0
11,7,4,0.11,2012,1,1100.0,0,12,0
12,7,4,0.0,2015,1,3800.0,0,2,1
9,12,4,0.11,2013,1,1860.0,0,1,2
11,15,4,0.11,2013,1,1500.0,0,2,1
11,15,4,0.12,2012,0,1700.0,0,1,1
11,0,4,0.12,2013,1,1300.0,0,5,0
0,0,3,0.11,2011,0,1250.0,0,2,2
0,2,3,0.12,2012,0,1000.0,0,1,1
0,0,0,0.0,2018,1,890.0,0,3,0
7,2,4,0.11,2017,1,1650.0,0,5,1
11,15,4,0.12,2012,1,1250.0,0,11,0
7,2,4,0.12,2015,1,1400.0,0,1,1
0,0,0,0.11,2018,1,890.0,0,4,1
14,7,4,0.14,2014,1,1400.0,0,3,1
3,3,4,0.1,2018,0,1200.0,0,2,1
11,15,3,0.14,2012,1,1250.0,0,0,0
0,16,0,0.0,2016,1,1.0,0,0,1
0,16,4,0.12,2014,0,1260.0,0,3,1
6,0,4,0.11,2016,1,1500.0,0,6,1
6,0,4,0.1,2017,1,371.5940262115209,0,0,1
1,1,0,0.1,2015,1,1700.0,0,0,2
11,0,4,0.12,2013,1,1300.0,0,6,1
6,0,4,0.11,2013,1,399.46357817738493,0,6,0
11,15,4,0.16,2012,1,1400.0,2,4,0
2,3,4,0.11,2013,1,1700.0,0,2,1
2,3,4,0.0,2014,1,1775.0,0,5,1
2,3,4,0.11,2015,1,1550.0,0,0,2
6,0,4,0.1,2017,1,1901.0,0,1,1
18,11,4,0.12,2013,1,1600.0,0,1,2
6,0,0,0.1,2013,1,371.5940262115209,0,1,1
2,3,4,0.12,2015,1,1775.0,4,2,1
2,3,0,0.0,2016,1,442.0,0,2,1
5,7,0,0.12,2015,1,1900.0,0,7,2
11,15,4,0.11,2012,1,1248.0,0,3,0
0,0,0,0.11,2016,1,934.0,0,3,1
11,0,4,0.12,2012,0,1250.0,0,7,1
11,15,4,0.12,2012,1,1100.0,4,11,1
2,3,4,0.11,2013,1,1750.0,0,2,1
3,3,4,0.11,2014,1,1300.0,0,2,2
9,13,4,0.0,2012,1,1200.0,0,6,2
11,15,4,0.13,2012,1,1800.0,3,13,1
5,7,4,0.12,2014,1,2075.0,0,1,2
11,7,4,0.13,2012,1,1320.0,0,0,2
18,7,4,0.1,2012,0,1650.0,0,0,2
4,0,3,0.11,2012,1,1350.0,0,0,2
1,1,4,0.1,2015,1,1450.0,0,0,2
6,0,4,0.11,2013,1,527.6635172203596,0,1,2
11,15,4,0.13,2013,1,1150.0,0,2,1
0,0,3,0.12,2011,1,1300.0,0,2,1
6,0,1,0.1,2014,1,371.5940262115209,0,0,1
11,7,4,0.12,2012,1,1100.0,1,7,0
6,0,4,0.1,2016,0,371.5940262115209,0,5,1
5,7,4,0.12,2014,1,2075.0,0,1,2
18,11,4,0.12,2013,1,1600.0,0,1,2
11,0,0,0.13,2012,1,1170.0,0,14,1
2,3,4,0.11,2012,1,1775.0,1,2,1
11,7,4,0.11,2012,1,1100.0,0,12,0
11,15,4,0.14,2012,1,1450.0,0,34,0
6,0,4,0.11,2017,1,1700.0,0,4,1
11,15,4,0.14,2012,1,1320.0,0,0,0
19,3,4,0.12,2014,0,1040.0,0,0,1
15,15,4,0.11,2012,0,775.0,0,0,0
11,15,4,0.12,2012,0,1100.0,0,5,0
15,15,4,0.11,2014,1,650.0,0,0,1
6,0,4,0.1,2016,1,3280.0,0,2,1
0,0,0,0.12,2011,1,1300.0,0,2,2
6,9,4,0.11,2014,1,464.49253276440106,0,1,1
2,3,4,0.12,2013,1,1200.0,1,1,2
6,3,4,0.11,2016,1,1500.0,2,3,1
2,3,4,0.11,2012,1,1775.0,0,0,1
11,8,4,0.14,2012,1,1089.0,0,10,1
3,3,4,0.1,2014,0,1300.0,0,2,2
18,11,0,0.12,2013,1,1650.0,0,0,1
11,15,3,0.14,2012,1,1550.0,3,17,0
6,0,4,0.11,2015,1,1500.0,0,2,1
0,2,0,0.11,2016,1,1100.0,0,2,1
15,15,4,0.11,2014,1,150.0,0,0,1
11,15,4,0.14,2012,1,1140.0,3,11,0
5,7,0,0.1,2014,1,1822.5,0,4,2
11,15,4,0.1,2012,1,1050.0,1,22,0
11,3,4,0.13,2012,1,1200.0,1,3,0
4,0,3,0.11,2012,1,1350.0,0,0,2
4,0,4,0.1,2013,0,1500.0,0,3,2
4,0,4,0.0,2016,0,1350.0,0,2,1
2,3,4,0.11,2012,1,1775.0,1,3,1
0,16,3,0.12,2012,1,1250.0,0,3,1
9,12,4,0.11,2013,1,1860.0,0,1,2
6,0,4,0.11,2013,1,399.46357817738493,0,2,1
11,15,0,0.12,2012,1,1250.0,0,6,0
0,2,3,0.12,2012,0,1000.0,0,1,1
11,6,4,0.12,2012,1,800.0,4,24,0
6,0,4,0.11,2013,1,527.6635172203596,0,1,2
11,15,4,0.13,2012,0,1280.0,23,29,0
0,16,0,0.0,2016,1,1.0,0,0,1
6,8,0,0.11,2014,1,1770.0,0,1,2
6,7,4,0.12,2014,1,371.5940262115209,0,3,0
2,3,0,0.11,2012,1,2136.0,0,8,2
11,15,4,0.13,2012,1,1200.0,0,27,0
0,16,0,0.1,2014,1,1260.0,0,0,1
15,15,4,0.11,2014,1,600.0,0,0,1
14,4,4,0.08,2017,0,1600.0,0,0,2
4,0,4,0.1,2013,0,1500.0,0,3,2
0,16,0,0.12,2015,1,1200.0,0,8,1
14,7,4,0.13,2013,1,260.11581834806464,0,0,0
1,1,4,0.1,2015,1,1450.0,0,0,2
11,0,4,0.11,2012,1,1800.0,0,0,0
11,15,4,0.13,2012,1,1800.0,4,13,1
14,7,4,0.0,2013,0,260.11581834806464,0,0,1
3,3,4,0.1,2014,0,1300.0,0,2,2
7,9,0,0.11,2014,1,1350.0,2,6,0
16,7,4,0.12,2014,1,1500.0,0,0,1
6,0,4,0.11,2016,1,1500.0,0,0,1
11,15,4,0.14,2012,1,1140.0,3,11,0
9,13,4,0.12,2013,0,1800.0,0,1,2
6,0,4,0.11,2013,1,399.46357817738493,2,15,0
0,0,0,0.12,2011,1,1300.0,0,2,2
17,3,4,0.1,2012,1,1300.0,1,9,2
5,7,0,0.12,2015,1,1900.0,0,7,2
11,15,4,0.12,2012,0,1700.0,0,1,1
3,3,4,0.11,2014,1,1300.0,0,2,2
3,3,4,0.11,2014,1,1300.0,0,2,2
11,15,4,0.11,2012,1,1050.0,0,3,0
14,7,4,0.0,2014,1,2019.0,0,0,2
7,2,4,0.12,2015,1,1400.0,0,1,1
7,2,4,0.1,2014,1,1450.0,0,4,0
6,0,4,0.1,2015,1,3280.0,2,6,1
11,15,4,0.13,2012,1,800.0,0,30,0
0,16,0,0.1,2014,1,1260.0,0,0,1
18,11,0,0.12,2013,1,1650.0,0,0,1
6,8,4,0.09,2014,0,1700.0,0,2,1
11,15,4,0.12,2013,1,1400.0,0,6,1
18,7,4,0.1,2012,0,1650.0,0,0,2
11,15,4,0.11,2014,1,1550.0,0,0,1
14,7,4,0.14,2014,1,1400.0,0,3,1
3,3,4,0.0,2016,0,1300.0,0,0,2
1,1,4,0.1,2015,1,1450.0,0,0,2
6,7,4,0.1,2014,1,371.5940262115209,1,2,0
2,3,4,0.0,2013,1,1750.0,0,3,1
7,3,4,0.12,2017,1,1600.0,0,1,1
3,2,4,0.11,2013,1,1200.0,0,3,1
18,11,4,0.12,2013,1,1600.0,0,1,2
2,3,4,0.11,2017,1,442.0,0,1,1
11,15,4,0.11,2012,1,1300.0,0,0,1
18,11,4,0.12,2013,1,1600.0,0,1,2
11,15,4,0.12,2014,1,1200.0,0,4,1
9,13,4,0.12,2013,0,1800.0,0,1,2
11,15,4,0.12,2012,0,1450.0,0,0,1
11,15,3,0.11,2012,1,1200.0,0,7,1
14,7,4,0.0,2014,1,2019.0,0,0,2
11,15,4,0.13,2012,1,1800.0,4,13,1
2,3,4,0.12,2013,1,1200.0,1,1,2
9,12,4,0.0,2012,0,1650.0,0,0,1
6,7,4,0.12,2014,1,371.5940262115209,0,0,1
14,7,4,0.0,2014,1,2019.0,0,0,2
1,1,4,0.1,2015,1,1600.0,0,3,1
11,15,4,0.1,2012,1,1050.0,1,22,0
11,15,3,0.13,2012,1,981.0,2,7,1
9,13,4,0.0,2012,1,1600.0,0,2,2
11,15,4,0.12,2012,1,1250.0,0,13,1
2,3,0,0.12,2014,1,1550.0,0,2,2
11,15,4,0.14,2012,1,1550.0,0,8,0
6,2,4,0.1,2012,0,431.97805547089297,0,1,2
7,2,4,0.11,2017,1,1650.0,0,5,0
2,7,4,0.12,2016,1,1800.0,1,0,1
2,3,0,0.12,2014,1,1550.0,0,2,2
14,3,1,0.11,2014,1,1680.0,1,4,1
15,15,4,0.08,2014,1,1200.0,0,0,1
0,2,0,0.11,2017,1,1020.0,0,4,1
2,3,4,0.11,2015,1,1550.0,0,0,2
2,3,4,0.11,2015,1,1550.0,0,0,2
7,3,4,0.1,2017,1,1400.0,0,4,1
18,11,0,0.12,2013,1,1650.0,0,0,2
19,7,0,0.12,2012,1,1040.0,0,2,1
0,0,3,0.11,2011,0,1250.0,0,2,2
18,11,4,0.12,2013,1,1600.0,0,1,2
11,7,4,0.11,2012,1,1100.0,0,12,0
7,2,4,0.11,2017,1,1650.0,0,5,0
6,0,4,0.11,2013,1,399.46357817738493,0,2,0
2,3,4,0.11,2012,0,1800.0,0,3,1
9,13,4,0.0,2012,1,1600.0,0,2,2
18,11,4,0.11,2016,1,1800.0,0,1,1
6,0,4,0.1,2016,1,371.5940262115209,0,1,0
5,7,4,0.12,2014,1,2075.0,0,2,2
2,3,4,0.12,2013,1,1200.0,1,1,2
7,3,0,0.12,2014,1,1350.0,0,1,1
6,0,4,0.11,2013,1,527.6635172203596,0,1,2
1,1,0,0.1,2015,1,1700.0,0,0,2
9,13,4,0.0,2012,1,1600.0,0,2,2
11,15,4,0.14,2012,1,750.0,0,19,0
5,7,4,0.12,2014,1,2075.0,0,2,2
2,3,4,0.11,2016,1,1600.0,0,1,1
11,2,4,0.12,2012,1,1100.0,0,10,1
9,12,4,0.11,2013,1,1860.0,0,1,2
11,15,4,0.11,2012,1,1248.0,0,3,0
3,3,4,0.0,2015,0,1850.0,0,0,1
4,0,3,0.11,2012,1,1350.0,0,0,2
18,7,4,0.1,2012,0,1650.0,0,0,2
2,3,0,0.11,2012,1,2136.0,0,8,2
6,0,4,0.1,2017,1,48.12142639439195,1,1,1
2,3,4,0.11,2014,1,1850.0,0,0,1
6,3,4,0.1,2014,1,1500.0,0,1,1
11,15,4,0.17,2012,1,1500.0,0,6,0
0,2,0,0.11,2018,1,995.0,0,1,1
9,12,0,0.11,2014,0,1754.0,0,2,2
3,3,4,0.12,2014,1,1200.0,2,4,0
6,0,4,0.11,2013,1,399.46357817738493,0,3,1
11,15,3,0.14,2012,1,1550.0,3,17,0
6,0,4,0.11,2012,1,399.46357817738493,0,13,1
2,3,4,0.11,2013,1,1700.0,0,2,1
11,15,4,0.16,2012,1,1400.0,0,0,0
2,3,4,0.11,2012,1,1775.0,0,3,1
2,3,4,0.12,2013,1,1200.0,1,1,2
16,0,4,0.12,2016,1,1050.0,0,2,1
18,11,4,0.12,2013,1,1950.0,0,1,2
11,15,4,0.11,2012,1,1100.0,0,0,1
2,3,4,0.11,2013,1,1750.0,0,0,1
2,7,4,0.0,2014,1,1550.0,0,3,1
9,12,0,0.11,2014,0,1754.0,0,2,2
11,15,4,0.11,2012,1,1200.0,0,2,1
11,0,4,0.12,2013,1,1300.0,0,5,0
18,11,4,0.12,2013,1,1950.0,0,1,2
6,0,4,0.12,2013,1,399.46357817738493,1,8,0
15,15,0,0.12,2015,1,680.0,0,0,1
11,8,4,0.12,2012,1,1400.0,0,0,1
15,15,0,0.0,2016,1,350.0,0,0,1
7,1,4,0.11,2018,0,1200.0,0,3,1
11,15,0,0.13,2012,1,1800.0,3,7,1
0,0,0,0.12,2011,1,1250.0,0,2,2
8,7,0,0.12,2011,1,3500.0,4,26,0
11,7,4,0.0,2013,1,1600.0,0,1,1
7,3,4,0.11,2017,0,1500.0,0,3,1
9,13,4,0.12,2013,0,1800.0,0,1,2
11,0,4,0.12,2012,1,1000.0,0,12,1
2,3,4,0.11,2013,1,1775.0,1,1,1
6,0,4,0.11,2017,1,1700.0,0,1,1
11,15,0,0.13,2015,0,1059.0,0,3,1
6,0,4,0.11,2012,1,399.46357817738493,0,15,0
1,1,4,0.1,2015,1,1650.0,0,2,1
7,2,4,0.1,2014,1,1450.0,0,4,0
15,15,4,0.1,2013,0,600.0,0,0,0
9,13,4,0.0,2012,1,1600.0,0,2,2
6,8,0,0.11,2014,1,1770.0,0,1,2
6,0,4,0.11,2013,1,527.6635172203596,0,1,2
7,2,4,0.12,2014,1,1450.0,0,3,1
15,15,3,0.11,2014,1,1100.0,0,0,1
11,0,4,0.12,2013,1,1300.0,0,4,0
14,7,4,0.13,2013,1,260.11581834806464,0,0,0
2,3,0,0.12,2014,1,1550.0,0,2,2
11,15,4,0.13,2013,1,1150.0,0,2,1
15,7,4,0.0,2017,0,200.0,0,0,1
2,3,4,0.0,2011,1,1750.0,0,1,1
9,12,4,0.11,2012,0,2000.0,0,0,1
6,0,4,0.1,2016,0,371.5940262115209,0,5,1
6,7,4,0.1,2014,1,371.5940262115209,1,2,0
11,7,4,0.12,2013,1,1100.0,0,0,1
11,0,4,0.12,2013,1,1300.0,0,5,0
3,3,4,0.0,2015,0,1300.0,0,0,1
11,15,4,0.1,2012,1,1050.0,1,22,0
2,7,4,0.0,2016,0,1500.0,0,4,1
0,6,0,0.11,2012,1,1038.5,0,3,1
11,0,4,0.13,2012,1,1000.0,0,10,0
9,12,0,0.11,2014,0,1754.0,0,2,2
6,0,4,0.12,2016,1,1700.0,0,0,1
0,0,0,0.11,2016,1,944.0,0,3,1
0,16,3,0.0,2014,1,1200.0,1,1,1
8,15,4,0.12,2012,1,1400.0,0,0,1
1,15,4,0.0,2013,1,1850.0,0,5,0
0,0,3,0.11,2011,0,1250.0,0,1,2
11,15,4,0.13,2012,1,1200.0,0,27,0
11,15,4,0.12,2014,1,1000.0,0,1,0
2,3,4,0.0,2012,1,1750.0,0,2,1
1,1,0,0.1,2015,1,1700.0,0,0,2
11,0,4,0.11,2012,1,1800.0,0,0,0
4,0,4,0.0,2017,1,1450.0,0,6,1
7,3,0,0.09,2017,1,1400.0,0,6,1
16,7,4,0.12,2014,1,1620.0,0,7,1
11,15,4,0.11,2013,1,1500.0,0,2,1
6,0,4,0.12,2013,1,399.46357817738493,0,4,1
0,0,0,0.12,2011,1,1250.0,0,2,2
7,2,4,0.1,2014,1,1450.0,0,4,0
7,9,0,0.11,2014,1,1350.0,0,7,0
2,3,0,0.11,2013,1,1000.0,0,1,1
12,7,4,0.0,2015,1,3845.0,0,4,0
6,0,4,0.1,2017,1,371.5940262115209,0,0,0
11,15,4,0.11,2012,1,1050.0,0,3,0
11,15,4,0.16,2012,1,1400.0,2,4,0
11,3,4,0.12,2014,1,1200.0,1,13,1
0,0,3,0.11,2011,0,1250.0,0,2,2
16,7,4,0.12,2014,1,1620.0,0,2,1
11,6,4,0.11,2012,1,1250.0,0,0,0
2,3,4,0.12,2015,1,1775.0,0,4,1
11,15,4,0.14,2012,1,950.0,0,23,0
15,16,1,0.11,2014,1,600.0,0,0,1
2,3,0,0.11,2012,1,2136.0,0,8,2
7,9,0,0.11,2014,1,1350.0,2,6,0
6,0,4,0.1,2013,1,371.5940262115209,0,2,0
2,3,0,0.12,2015,1,442.0,3,0,1
6,3,4,0.11,2013,1,464.49253276440106,0,4,1
11,7,4,0.13,2012,1,1320.0,0,0,2
0,0,0,0.12,2011,1,1250.0,0,2,2
7,2,4,0.1,2014,1,1450.0,0,4,0
6,2,4,0.1,2012,1,431.97805547089297,0,4,0
2,3,4,0.1,2013,1,1300.0,0,2,1
6,2,4,0.1,2012,0,431.97805547089297,0,1,2
2,3,4,0.0,2013,1,1200.0,0,3,0
1,1,4,0.1,2015,1,1450.0,0,0,2
18,7,4,0.1,2012,1,1700.0,10,26,1
15,15,4,0.11,2014,1,300.0,0,0,1
13,3,4,0.1,2013,1,1050.0,1,3,1
11,8,4,0.14,2012,1,1350.0,0,6,1
6,0,4,0.11,2012,1,399.46357817738493,0,8,0
11,2,3,0.13,2012,1,1210.0,0,7,1
2,3,4,0.11,2012,1,1450.0,0,2,1
5,7,4,0.12,2014,1,2075.0,0,2,2
2,3,4,0.11,2015,1,1550.0,0,0,2
2,3,4,0.11,2015,1,1775.0,0,3,1
11,0,4,0.12,2013,1,1300.0,0,5,0
11,15,3,0.13,2012,1,1400.0,0,2,1
3,3,4,0.09,2016,0,1850.0,0,4,1
6,0,4,0.11,2013,1,399.46357817738493,2,15,0
11,3,4,0.12,2015,1,1200.0,0,10,1
0,16,0,0.0,2016,1,1.0,0,1,1
